Epoch: 041, aver_loss : 0.07840, R@20: 0.1264, N@20: 0.0909, R@10: 0.0759, N@10: 0.0684, R@50: 0.2356, N@50: 0.1293
Epoch: 042, aver_loss : 0.07786, R@20: 0.1267, N@20: 0.0910, R@10: 0.0760, N@10: 0.0684, R@50: 0.2361, N@50: 0.1296
Epoch: 043, aver_loss : 0.07827, R@20: 0.1271, N@20: 0.0913, R@10: 0.0762, N@10: 0.0687, R@50: 0.2367, N@50: 0.1299
Epoch: 044, aver_loss : 0.07679, R@20: 0.1273, N@20: 0.0915, R@10: 0.0765, N@10: 0.0689, R@50: 0.2372, N@50: 0.1302
Epoch: 045, aver_loss : 0.07645, R@20: 0.1275, N@20: 0.0917, R@10: 0.0766, N@10: 0.0690, R@50: 0.2378, N@50: 0.1305
Epoch: 046, aver_loss : 0.07717, R@20: 0.1276, N@20: 0.0917, R@10: 0.0766, N@10: 0.0690, R@50: 0.2381, N@50: 0.1306
Epoch: 047, aver_loss : 0.07626, R@20: 0.1281, N@20: 0.0920, R@10: 0.0768, N@10: 0.0692, R@50: 0.2386, N@50: 0.1309
Epoch: 048, aver_loss : 0.07629, R@20: 0.1283, N@20: 0.0922, R@10: 0.0770, N@10: 0.0693, R@50: 0.2393, N@50: 0.1313
Epoch: 049, aver_loss : 0.07564, R@20: 0.1285, N@20: 0.0924, R@10: 0.0774, N@10: 0.0696, R@50: 0.2397, N@50: 0.1316
Epoch: 050, aver_loss : 0.07601, R@20: 0.1288, N@20: 0.0926, R@10: 0.0776, N@10: 0.0698, R@50: 0.2403, N@50: 0.1318
Epoch: 051, aver_loss : 0.07536, R@20: 0.1291, N@20: 0.0928, R@10: 0.0780, N@10: 0.0701, R@50: 0.2409, N@50: 0.1322
Epoch: 052, aver_loss : 0.07411, R@20: 0.1292, N@20: 0.0929, R@10: 0.0780, N@10: 0.0701, R@50: 0.2410, N@50: 0.1323
Epoch: 053, aver_loss : 0.07458, R@20: 0.1296, N@20: 0.0932, R@10: 0.0782, N@10: 0.0703, R@50: 0.2415, N@50: 0.1326
Epoch: 054, aver_loss : 0.07392, R@20: 0.1298, N@20: 0.0934, R@10: 0.0784, N@10: 0.0705, R@50: 0.2421, N@50: 0.1330
Epoch: 055, aver_loss : 0.07349, R@20: 0.1302, N@20: 0.0936, R@10: 0.0785, N@10: 0.0706, R@50: 0.2426, N@50: 0.1332
Epoch: 056, aver_loss : 0.07433, R@20: 0.1304, N@20: 0.0938, R@10: 0.0789, N@10: 0.0708, R@50: 0.2431, N@50: 0.1335
Epoch: 057, aver_loss : 0.07374, R@20: 0.1306, N@20: 0.0940, R@10: 0.0792, N@10: 0.0711, R@50: 0.2435, N@50: 0.1338
Epoch: 058, aver_loss : 0.07276, R@20: 0.1310, N@20: 0.0942, R@10: 0.0792, N@10: 0.0711, R@50: 0.2440, N@50: 0.1340
Epoch: 059, aver_loss : 0.07255, R@20: 0.1311, N@20: 0.0943, R@10: 0.0794, N@10: 0.0713, R@50: 0.2442, N@50: 0.1342
Epoch: 060, aver_loss : 0.07297, R@20: 0.1314, N@20: 0.0945, R@10: 0.0797, N@10: 0.0715, R@50: 0.2447, N@50: 0.1345
Epoch: 061, aver_loss : 0.07239, R@20: 0.1319, N@20: 0.0949, R@10: 0.0800, N@10: 0.0717, R@50: 0.2453, N@50: 0.1348
Epoch: 062, aver_loss : 0.07174, R@20: 0.1322, N@20: 0.0951, R@10: 0.0799, N@10: 0.0719, R@50: 0.2458, N@50: 0.1352
Epoch: 063, aver_loss : 0.07160, R@20: 0.1327, N@20: 0.0955, R@10: 0.0802, N@10: 0.0721, R@50: 0.2463, N@50: 0.1355
Epoch: 064, aver_loss : 0.07148, R@20: 0.1329, N@20: 0.0956, R@10: 0.0806, N@10: 0.0723, R@50: 0.2468, N@50: 0.1358
Epoch: 065, aver_loss : 0.07086, R@20: 0.1332, N@20: 0.0959, R@10: 0.0806, N@10: 0.0724, R@50: 0.2470, N@50: 0.1360
Epoch: 066, aver_loss : 0.07030, R@20: 0.1335, N@20: 0.0960, R@10: 0.0806, N@10: 0.0725, R@50: 0.2476, N@50: 0.1362
Epoch: 067, aver_loss : 0.07030, R@20: 0.1337, N@20: 0.0962, R@10: 0.0809, N@10: 0.0727, R@50: 0.2481, N@50: 0.1365
Epoch: 068, aver_loss : 0.07004, R@20: 0.1341, N@20: 0.0964, R@10: 0.0811, N@10: 0.0728, R@50: 0.2484, N@50: 0.1367
Epoch: 069, aver_loss : 0.07027, R@20: 0.1344, N@20: 0.0968, R@10: 0.0814, N@10: 0.0731, R@50: 0.2490, N@50: 0.1371
Epoch: 070, aver_loss : 0.06999, R@20: 0.1348, N@20: 0.0969, R@10: 0.0815, N@10: 0.0732, R@50: 0.2489, N@50: 0.1371
Epoch: 071, aver_loss : 0.06968, R@20: 0.1351, N@20: 0.0972, R@10: 0.0818, N@10: 0.0734, R@50: 0.2499, N@50: 0.1376
Epoch: 072, aver_loss : 0.06909, R@20: 0.1352, N@20: 0.0973, R@10: 0.0818, N@10: 0.0735, R@50: 0.2502, N@50: 0.1378
Epoch: 073, aver_loss : 0.06887, R@20: 0.1356, N@20: 0.0975, R@10: 0.0819, N@10: 0.0736, R@50: 0.2503, N@50: 0.1380
Epoch: 074, aver_loss : 0.06777, R@20: 0.1359, N@20: 0.0977, R@10: 0.0820, N@10: 0.0737, R@50: 0.2504, N@50: 0.1380
Epoch: 075, aver_loss : 0.06823, R@20: 0.1360, N@20: 0.0979, R@10: 0.0823, N@10: 0.0739, R@50: 0.2513, N@50: 0.1385
Epoch: 076, aver_loss : 0.06802, R@20: 0.1362, N@20: 0.0981, R@10: 0.0825, N@10: 0.0741, R@50: 0.2518, N@50: 0.1388
Epoch: 077, aver_loss : 0.06742, R@20: 0.1365, N@20: 0.0982, R@10: 0.0827, N@10: 0.0742, R@50: 0.2521, N@50: 0.1390
